name,city,canton,language,big_museum,single_exh_f,single_exh_m,group_exh_f,group_exh_m,visitors_lastyear,female_artists_all,male_artists_all,single_exhibitions_all,group_exhibitions_all,per_single_exh_f,per_single_exh_m,per_group_exh_f,per_group_exh_m
Kunstraum Baden,Baden,AG,D,NA,9,11,103,102,5800,112,113,20,205,0.45,0.55,0.5024390243902439,0.4975609756097561
Kunsthaus Baselland,Muttenz,BL,D,NA,35,53,269,266,5796,304,319,88,535,0.3977272727272727,0.6022727272727273,0.502803738317757,0.497196261682243
Kunsthaus Zug,Zug,ZG,D,NA,2,20,NA,NA,5742,NA,NA,22,NA,0.09090909090909091,0.9090909090909091,NA,NA
Cabinet d'arts graphiques du Musée d'art et d'histoire,Genève,GE,F,NA,1,8,31,181,5236,32,189,9,212,0.1111111111111111,0.8888888888888888,0.14622641509433962,0.8537735849056604
Musée Alexis Forel,Morges,VD,F,NA,17,4,2,17,5000,19,21,21,19,0.8095238095238095,0.19047619047619047,0.10526315789473684,0.8947368421052632
Museo civico Villa dei Cedri,Bellinzona,TI,I,NA,0,13,59,425,4919,59,438,13,484,0,1,0.12190082644628099,0.878099173553719
Musée du Vieux Pays-d'Enhaut,Château-d'Oex,VD,F,NA,8,19,159,68,4700,167,87,27,227,0.2962962962962963,0.7037037037037037,0.7004405286343612,0.29955947136563876
"FRI-ART, Kunsthalle Freiburg",Fribourg,FR,F,NA,31,31,107,194,3800,138,225,62,301,0.5,0.5,0.3554817275747508,0.6445182724252492
Musée de Saint-Imier,Saint-Imier,BE,F,NA,0.25,0.75,0.12,0.78,NA,0.37,1.53,1,0.9,0.25,0.75,0.13333333333333333,0.8666666666666667
Centre d'art Pasquart,Biel,BE,F,NA,27,25,540,587,NA,567,612,52,1127,0.5192307692307693,0.4807692307692308,0.47914818101153506,0.520851818988465
Musée jurassien des arts,Moutier,BE,F,NA,1,20,252,605,NA,253,625,21,857,0.047619047619047616,0.9523809523809523,0.294049008168028,0.705950991831972
Fondation Baur,Genève,GE,F,NA,0,5,NA,NA,NA,NA,NA,5,NA,0,1,NA,NA
Musée d'art du Valais / Kunstmuseum Wallis,Sion,VS,F,NA,4,11,46,179,NA,50,190,15,225,0.26666666666666666,0.7333333333333333,0.20444444444444446,0.7955555555555556
Kunstmuseum Appenzell u Kunsthalle Ziegelhütte,Appenzell,AI,D,NA,7,32,144,185,NA,151,217,39,329,0.1794871794871795,0.8205128205128205,0.4376899696048632,0.5623100303951368
Kunstmuseum Thun,Thun,BE,D,NA,2,10,307,547,NA,309,557,12,854,0.16666666666666666,0.8333333333333334,0.3594847775175644,0.6405152224824356
Kunsthaus Interlaken,Interlaken,BE,D,NA,2,12,123,242,NA,125,254,14,365,0.14285714285714285,0.8571428571428571,0.336986301369863,0.663013698630137
Schweizer Holzbildhauerei Museum,Brienz BE,BE,D,NA,NA,NA,10,90,NA,NA,NA,NA,100,NA,NA,0.1,0.9
Kunsthaus Langenthal,Langethal,BL,D,NA,18,22,250,259,NA,268,281,40,509,0.45,0.55,0.4911591355599214,0.5088408644400786
Kunstraum Riehen,Riehen,BS,D,NA,1,9,190,378,NA,191,387,10,568,0.1,0.9,0.3345070422535211,0.6654929577464789
